Participant	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	Grade	Letter_Grade	Pre_1	Pre_2	Pre_3	Pre_4	Pre_5	Pre_6	Pre_7	Pre_8	Pre_9	Pre_10	Pre_11	Pre_12	Pre_13	Pre_14	Pre_15	Pre_16	Pre_17	Pre_18	Pre_19	Pre_20	Pre_21	Pre_22	Post_1	Post_2	Post_3	Post_4	Post_5	Post_6	Post_7	Post_8	Post_9	Post_10	Post_11	Post_12	Post_13	Post_14	Post_15	Post_16	Post_17	Post_18	Post_19	Post_20	Post_21	Post_22	Exam3_Q23	Exam3_Q24	Exam3_Q25	Final_Q25
70	F	Y	Y	4	Pair2_730	0.828	B	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	NA
71	F	N	Y	6	Pair2_300	0.865333333	B	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	NA
72	F	Y	Y	6	Pair1_430	0.833666667	B	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	NA
73	F	N	Y	6	Pair2_600	0.907	A	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	NA
74	F	N	N	2	Pair1_300	0.908	A	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	NA
75	M	N	Y	6	Pair2_730	0.818333333	B	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	NA
76	F	N	Y	6	Pair1_730	0.785502008	C	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0
77	F	N	Y	6	Pair2_730	0.750606426	C	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0
78	M	Y	Y	4	Pair1_430	0.800333333	B	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0
79	M	N	Y	2_4	Pair2_430	0.719309237	C	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	NA	NA	NA	0
80	F	Y	Y	2	Pair1_430	0.905674699	A	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1
81	F	N	Y	6	Pair2_600	0.884	B	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	NA
82	M	N	Y	6	Pair1_600	0.908666667	A	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	NA
83	M	Y	Y	4	Pair2_730	0.928	A	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	NA
84	F	N	Y	2	Pair2_300	0.890550201	B	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	1
85	F	N	N	6	Pair2_300	0.795730924	B	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	1
86	M	Y	Y	1	Pair2_430	0.735329317	C	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	NA	NA	NA	1
87	M	N	Y	6	Pair1_730	0.796666667	B	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1
88	M	N	Y	6	Pair1_430	0.825666667	B	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1
89	F	Y	Y	4	Pair2_300	0.711333333	C	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	NA
90	F	N	Y	6	Pair1_300	0.819666667	B	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	1	1	0	NA
91	M	N	Y	6	Pair2_430	0.798333333	B	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	NA
92	M	Y	Y	6	Pair1_430	0.877666667	B	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	NA
93	F	N	Y	6	Pair2_300	0.918341365	A	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0
94	F	N	Y	6	Pair1_300	0.766606426	C	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0
95	M	N	Y	6	Pair2_430	0.774666667	C	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0
96	F	N	Y	6	Pair1_600	0.901855422	A	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1
97	F	Y	Y	4	Pair2_600	0.74	C	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1
98	F	N	Y	6	Pair2_300	0.89113253	B	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1
99	M	N	Y	6	Pair2_430	0.772016064	C	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1
100	M	N	Y	6	Pair2_730	0.809293173	B	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1
101	F	N	Y	2_5	Pair1_430	0.811666667	B	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	NA
102	F	N	Y	6	Pair1_300	0.808666667	B	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	NA
103	F	Y	Y	6	Pair1_600	0.920666667	A	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	NA
104	F	N	Y	4	Pair2_600	0.801333333	B	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	NA
105	F	Y	Y	2	Pair2_300	0.9	A	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	NA
106	F	N	Y	6	Pair1_730	0.919333333	A	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	NA
107	F	Y	Y	4	Pair1_300	0.929	A	1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	NA
